Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-08-26,163.119995,163.610001,161.550003,161.759995,161.759995,6689300,134
2022-08-29,161.880005,162.619995,161.699997,161.860001,161.860001,4702300,135
2022-08-30,161.270004,161.429993,160.339996,160.509995,160.509995,4856600,136
2022-08-31,159.5,160.570007,159.259995,159.270004,159.270004,5438600,137
2022-09-01,158.169998,158.389999,157.320007,157.869995,157.869995,7390800,138
2022-09-02,159.350006,160.059998,159.139999,159.259995,159.259995,5196900,139
2022-09-06,159.169998,159.460007,158.320007,158.330002,158.330002,4863800,140
2022-09-07,158.149994,160.149994,158.080002,159.940002,159.940002,3981400,141
2022-09-08,159.539993,159.860001,158.710007,158.979996,158.979996,4607100,142
2022-09-09,159.720001,160.240005,159.410004,159.820007,159.820007,3927800,143
2022-09-12,161.039993,161.619995,160.550003,160.630005,160.630005,4537500,144
2022-09-13,158.470001,159.270004,158.389999,158.539993,158.539993,6526400,145
2022-09-14,158.679993,158.979996,157.729996,157.929993,157.929993,6091100,146
2022-09-15,156.759995,157.490005,154.619995,154.979996,154.979996,13181200,147
2022-09-16,154.660004,156.559998,154.339996,155.839996,155.839996,7141200,148
2022-09-19,154.869995,156.039993,154.820007,155.960007,155.960007,5582800,149
2022-09-20,155.029999,155.229996,154.589996,155.070007,155.070007,5943700,150
2022-09-21,155.970001,157.25,154.009995,155.789993,155.789993,7816100,151
2022-09-22,156.259995,156.479996,155.309998,155.699997,155.699997,5975200,152
2022-09-23,153.899994,154,152.639999,153.009995,153.009995,9598000,153
2022-09-26,153.220001,153.509995,151.029999,151.229996,151.229996,8240500,154
2022-09-27,152.25,152.729996,151.5,151.539993,151.539993,7151300,155
2022-09-28,153.199997,154.880005,152.929993,154.690002,154.690002,8977200,156
2022-09-29,154.139999,155.029999,153.160004,154.660004,154.660004,6317000,157
2022-09-30,154.940002,156.039993,154.570007,154.669998,154.669998,6832400,158
2022-10-03,155.440002,158.479996,155.229996,158.429993,158.429993,10362200,159
2022-10-04,159.179993,161.080002,158.919998,160.699997,160.699997,8024500,160
2022-10-05,159.320007,160.080002,158.380005,159.809998,159.809998,5296300,161
2022-10-06,159.410004,159.940002,158.949997,159.630005,159.630005,5712600,162
2022-10-07,158.460007,158.979996,157.679993,157.880005,157.880005,5030000,163
2022-10-10,155.940002,156.350006,155.119995,155.479996,155.479996,6110800,164
2022-10-11,155.490005,156.809998,154.919998,155.160004,155.160004,5306700,165
2022-10-12,155.509995,156.289993,155.259995,155.990005,155.990005,3998500,166
2022-10-13,153.479996,155.729996,152.919998,154.910004,154.910004,7083800,167
2022-10-14,154.020004,154.199997,152.720001,152.979996,152.979996,5471900,168
2022-10-17,154.919998,155.330002,153.320007,153.419998,153.419998,4348000,169
2022-10-18,154.080002,154.240005,153.240005,153.75,153.75,4528400,170
2022-10-19,152.089996,152.490005,151.539993,151.690002,151.690002,8257100,171
2022-10-20,151.919998,153.229996,151.270004,151.449997,151.449997,5019800,172
2022-10-21,151.979996,154.309998,151.830002,154.149994,154.149994,6898400,173
2022-10-24,153.449997,154.059998,153.059998,153.649994,153.649994,4673300,174
2022-10-25,153.960007,154.789993,153.830002,154,154,3434100,175
2022-10-26,154.779999,155.729996,154.779999,154.979996,154.979996,4448200,176
2022-10-27,154.710007,155.089996,154.220001,154.740005,154.740005,3654900,177
2022-10-28,152.960007,153.539993,152.5,153.160004,153.160004,4645400,178
2022-10-31,152.160004,152.869995,151.889999,151.910004,151.910004,6097800,179
2022-11-01,153.820007,153.979996,152.869995,153.460007,153.460007,4603600,180
2022-11-02,154.160004,155.419998,152.259995,152.389999,152.389999,7210900,181
2022-11-03,150.699997,151.960007,150.570007,151.809998,151.809998,5378800,182
2022-11-04,154.949997,156.600006,154.660004,156.470001,156.470001,7692000,183
2022-11-07,156.220001,156.570007,155.809998,155.850006,155.850006,4425700,184
2022-11-08,155.990005,159.869995,155.979996,159.449997,159.449997,11299600,185
2022-11-09,159.360001,160.350006,158.449997,158.649994,158.649994,6040600,186
2022-11-10,162.009995,163.509995,161.660004,163.479996,163.479996,9939900,187
2022-11-11,163.910004,164.580002,163.419998,164.559998,164.559998,4622400,188
2022-11-14,164.199997,165.240005,164.149994,164.919998,164.919998,6187600,189
2022-11-15,165.270004,166.229996,164.559998,165.5,165.5,9903500,190
2022-11-16,165.410004,165.710007,164.830002,165.119995,165.119995,3645800,191
2022-11-17,163.789993,164.110001,163.399994,163.919998,163.919998,4574400,192
2022-11-18,163.380005,163.690002,162.679993,162.789993,162.789993,4321100,193
2022-11-21,162.440002,162.5,161.279999,161.880005,161.880005,4766500,194
2022-11-22,162.300003,162.600006,161.720001,162.070007,162.070007,3203800,195
2022-11-23,161.690002,163.240005,161.559998,163.080002,163.080002,4167000,196
